portOfLading;portOfLadingRegion
Guayaquil, Ecuador;South America
Barranquilla, Colombia;South America
Emden, Germany;Western Europe
Lazaro Cardenas, Mexico;Central America
Bridgetown, Barbados;Caribbean
San Vicente, Chile;South America
Caldera, Costa Rica;Central America
Parham Harbour, Antigua, Antigua And Barbuda;Caribbean
Oxelosund, Sweden;Northern Europe
All Other Mexico East Coast Region Ports, Mexico;Central America
Lazaro Cardenas, Mexico;North America
Altamira, Mexico;North America
Puerto Quetzal, Guatemala;Central America
Marina Di Carrara, Italy;Southern Europe
Saint Georges, Bermuda;North America
Ensenada, Mexico;Central America
All Other Bermuda Ports, Bermuda;North America
Cozumel Island, Mexico;Central America
Georgetown, Cayman Islands;Caribbean
Alexandria, Egypt;Northern Africa
Beirut, Lebanon;Western Asia
Taichung, Taiwan;Eastern Asia
Bangkok, Thailand;South-Eastern Asia
Taoranga, New Zealand;Australasia
Charlotte Amalie, St. Th, Virgin Islands (U.S.);Caribbean
Kowloon, Hong Kong;Eastern Asia
Djakarta, Indonesia;South-Eastern Asia
Sydney, Australia;Australasia
Dairen, China;Eastern Asia
Abidjan, Cote d'Ivoire;Western Africa
Rio De Janeiro, Brazil;South America
Da Nang, Vietnam;South-Eastern Asia
Valletta, Malta;Southern Europe
Felixstowe, United Kingdom;Western Europe
Osaka, Japan;Eastern Asia
Higashi Harima, Japan;Eastern Asia
Yawata, Japan;Eastern Asia
Okinawa Island, Japan;Eastern Asia
Gioia Tauro, Italy;Western Europe
Richard's Bay, South Africa;Southern Africa
Da Chan Bay, China;Eastern Asia
Guam Island, Guam;Micronesia
Hakata, Japan;Eastern Asia
All Other Dominican Republic Ports, Dominican Republic;Caribbean
Kwangyang, South Korea;Eastern Asia
All Other St. Croix Virgin Islands, Virgin Islands (U.S.);Caribbean
Piraeus, Greece;Southern Europe
Admiralty Bay, Saint Vincent and the Grenadines;Caribbean
Tarragona, Spain;Western Europe
Paita, Peru;South America
Tarragona, Spain;Southern Europe
Kawasaki, Japan;Eastern Asia
Puerto Drummond, Colombia;South America
Prince Rupert, Bc, Canada;North America
Puerto Castilla, Honduras;Central America
Veracruz, Mexico;North America
San Pedro, Cote d'Ivoire;Western Africa
All Other Ukraine Ports, Ukraine;Eastern Europe
Malaga, Spain;Western Europe
Milford Haven, United Kingdom;Northern Europe
Quebec, Que, Canada;North America
Meldrum Bay, Canada;North America
Terneuzen, Netherlands;Western Europe
Bowmanville, Ont, Canada;North America
Progreso, Mexico;Central America
Grand Turks, Turks and Caicos Islands;Caribbean
Khor Fakkan, United Arab Emirates;Western Asia
Shekou, China;Eastern Asia
Pipavav, India;Southern Asia
Cochin, India;Southern Asia
Port Chalmers, New Zealand;Australasia
Las Salinas, Chile;South America
All Other India West Coast Ports, India;Southern Asia
Kota Kinabalu, Malaysia;South-Eastern Asia
Tarakan, Indonesia;South-Eastern Asia
Cebu, Philippines;South-Eastern Asia
Arica, Chile;South America
Bremen, Germany;Western Europe
Barcarena, Brazil;South America
Klaipeda, Lithuania;Northern Europe
Porto Corsini, Italy;Southern Europe
Davao, Philippines;South-Eastern Asia
Liverpool, United Kingdom;Northern Europe
Apia, Samoa (Independent);Polynesia
Papeete, Tahiti, French Polynesia;Polynesia
Sepetiba Bay, Brazil;South America
Pago Pago Harbor, American Samoa;Polynesia
Bhavnagar, India;Southern Asia
Lagos, Nigeria;Western Africa
Dublin, Ireland;Northern Europe
Turbo, Colombia;South America
Santa Clara, Brazil;South America
All Other Guatemala West Coast Region Ports, Guatemala;Central America
Puerto Bolivar, Ecuador;South America
San Lucas, Mexico;Central America
Point Fortin, Trinidad and Tobago;Caribbean
Point Tupper, Cbi, Canada;North America
All Other Malaysia Ports, Malaysia;South-Eastern Asia
Guantanamo Bay, Cuba;Caribbean
Coatzacoalcos, Mexico;Central America
All Other Bermuda Ports, Bermuda;Caribbean
Galisbay, Netherlands Antilles;Caribbean
All Other Malta Ports, Malta;Southern Europe
Kinuura, Japan;Eastern Asia
Paramaribo, Suriname;South America
Gemlik, Turkey;Western Asia
Izmir, Turkey;Western Asia
Chen Huang Tao, China;Eastern Asia
Santander, Spain;Southern Europe
Fremantle, Australia;Australasia
Shimizu, Japan;Eastern Asia
Vieux Fort, Saint Lucia;Caribbean
Caleta Patillos, Chile;South America
Acajutla, El Salvador;Central America
Novorossiysk, Russia;Eastern Europe
All Other Turkey Black Sea and Sea of Marmara Port, Turkey;Western Asia
All Other Cayman Island Ports, Cayman Islands;Caribbean
Goderich, Ont, Canada;North America
Philipsborough, Netherlands Antilles;Caribbean
Clyde, United Kingdom;Northern Europe
Brisbane, Australia;Australasia
Pyongtaek, South Korea;Eastern Asia
All Other Colombian Caribbean Region Ports, Colombia;South America
All Other Egypt Mediterranean Region Ports, Egypt;Northern Africa
All Other France Mediterranean Region Ports, France;Western Europe
Rouseau, Dominica;Caribbean
Jose, Venezuela;South America
Christiansted, St. Croix, Virgin Islands (U.S.);Caribbean
Jeddeh, Saudi Arabia;Western Asia
Aarhus, Denmark;Northern Europe
All Other Sumatra Ports, Indonesia;South-Eastern Asia
Fang Cheng, China;Eastern Asia
Geraldton, Australia;Australasia
Georgetown, Guyana;South America
St. George, Grenada;Caribbean
Bimini Island, Bahamas;Caribbean
Amuay Bay, Venezuela;South America
Great Stirrup Cay, Bahamas;Caribbean
Belawan, Indonesia;South-Eastern Asia
Panama Canal  Pacific, Panama;Central America
Haikou, China;Eastern Asia
Suape, Brazil;South America
Belfast, United Kingdom;Northern Europe
All Other Turkey Mediterranean Region Ports, Turkey;Western Asia
All Other Estonia Ports, Estonia;Northern Europe
Road Harbour, Tortola, Virgin Islands (British);Caribbean
Bath, Ont, Canada;North America
Cayo Arcas, Mexico;Central America
Exuma, Bahamas;Caribbean
El Palito, Venezuela;South America
Zhongshan, China;Eastern Asia
Adabiya, Egypt;Northern Africa
Amsterdam, Netherlands;Western Europe
Nelson, New Zealand;Australasia
Corinto, Nicaragua;Central America
All Other Japan Ports, Japan;Eastern Asia
Huelva, Spain;Southern Europe
All Other Canada Pacific Region Ports, Canada;North America
Pajaritos, Mexico;Central America
Great Inagua, Bahamas;Caribbean
Half Moon Cay, Bahamas;Caribbean
Progreso, Mexico;North America
All Other Portugal Ports, Portugal;Southern Europe
All Other Sicily Ports, Italy;Western Europe
Leixoes, Portugal;Western Europe
Punta Arenas, Chile;South America
Goteborg, Sweden;Northern Europe
Hamilton, Bermuda;North America
Nanaimo, Bc, Canada;North America
Mina Saud, Kuwait;Western Asia
Esmeraldas, Ecuador;South America
Port Elizabeth, South Africa;Southern Africa
All Other Republic Of South Africa Ports, South Africa;Southern Africa
All Other Thailand Ports, Thailand;South-Eastern Asia
Tamsui, Taiwan;Eastern Asia
Orangestad, Aruba;Caribbean
Caracas, Venezuela;South America
Heroen, Norway;Northern Europe
Castries, Saint Lucia;Caribbean
Governor's Harbour, Bahamas;Caribbean
Leningrad, Russia;Eastern Europe
Amapala, Honduras;Central America
Sint Eustatius, Netherlands Antilles;Caribbean
Iquique, Chile;South America
All Other Costa Rica West Coast Region Ports, Costa Rica;Central America
Gebze, Turkey;Western Asia
All Other Qatar Ports, Qatar;Western Asia
Guangzhou, China;Eastern Asia
Al Jubail, Saudi Arabia;Western Asia
Porsgrunn, Norway;Northern Europe
All Other Pakistan Ports, Pakistan;Southern Asia
Wismar, Germany;Western Europe
Cat Island, Bahamas;Caribbean
Lido, Italy;Western Europe
Varna, Bulgaria;Eastern Europe
Wuhan, China;Eastern Asia
Teluk Bayur, Indonesia;South-Eastern Asia
All Other Bahrain Ports, Bahrain;Western Asia
Port Mellon, Bc, Canada;North America
Palermo, Italy;Western Europe
Bilbao, Spain;Western Europe
Coatzacoalcos, Mexico;North America
Baie Comeau, Que, Canada;North America
All Other Mexico East Coast Region Ports, Mexico;North America
Ash Shariqah, United Arab Emirates;Western Asia
Gibraltar, Gibraltar;Southern Europe
Mogi, Japan;Eastern Asia
Flushing, Netherlands;Western Europe
Ronnsker, Sweden;Northern Europe
Chiriqui Grande Terminal, Panama;Central America
Samil, South Korea;Eastern Asia
Mizushima, Japan;Eastern Asia
All Other Italy East Coast Ports, Italy;Southern Europe
Basseterre, St. Kitts, Saint Kitts and Nevis;Caribbean
Charlestown, Nevis Is., Saint Kitts and Nevis;Caribbean
Bonny, Nigeria;Western Africa
Kemi, Finland;Northern Europe
All Other Sweden Ports, Sweden;Northern Europe
Zhanjiang, China;Eastern Asia
Ijmuiden, Netherlands;Western Europe
Grangemouth, United Kingdom;Western Europe
Suva, Fiji;Melanesia
Cotonou, Benin;Western Africa
San Lucas, Mexico;North America
Cap Haitien, Haiti;Caribbean
Cap Lopez, Gabon;Middle Africa
Izmit, Turkey;Western Asia
Puerto Cabello, Venezuela;South America
Buenaventura, Colombia;South America
Puerto La Cruz, Venezuela;South America
Maracaibo, Venezuela;South America
Tema, Ghana;Western Africa
All Other United Arab Emirates Ports, United Arab Emirates;Western Asia
All Other Netherlands Antilles Ports, Netherlands Antilles;Caribbean
Corner Brook, Nfld, Canada;North America
Come By Chance, Nfld, Canada;North America
All Other Canada Atlantic Region Ports, Canada;North America
Phuket, Thailand;South-Eastern Asia
Salerno, Italy;Western Europe
Wakayama, Japan;Eastern Asia
Calcutta, India;Southern Asia
Dumai, Indonesia;South-Eastern Asia
All Other Panama Caribbean Region Ports, Panama;Central America
Kandla, India;Southern Asia
Halsingborg, Sweden;Northern Europe
All Other Peru Ports, Peru;South America
All Ports In Cambodia, Cambodia;South-Eastern Asia
Hamilton, Bermuda;Caribbean
Kristiansand N, Norway;Northern Europe
Lirquen, Chile;South America
Providenciales, Turks and Caicos Islands;Caribbean
Adalia, Turkey;Western Asia
Santander, Spain;Western Europe
Puerto De Morales, Mexico;North America
Trieste, Italy;Southern Europe
Military Yokohama, Japan;Eastern Asia
Casablanca, Morocco;Northern Africa
Poti, Georgia;Eastern Europe
Lavera, France;Western Europe
Clarence Town, Bahamas;Caribbean
All Other Ports In Bulgaria, Bulgaria;Eastern Europe
Al Manamah Harbor, Bahrain;Western Asia
Agadir, Morocco;Northern Africa
Augusta, Italy;Southern Europe
Palermo, Italy;Southern Europe
Immingham, United Kingdom;Northern Europe
All Other Morocco Atlantic Region Ports, Morocco;Northern Africa
Port Kembla, Australia;Australasia
Visakhapatnam, India;Southern Asia
All Other Belgium Ports, Belgium;Western Europe
Salonika, Greece;Southern Europe
Gunsan, South Korea;Eastern Asia
All Other Bahamas Ports, Bahamas;Caribbean
Ilheus, Brazil;South America
Porto Corsini, Italy;Western Europe
Bullen Baai, Netherlands Antilles;Caribbean
Victoria, Bc, Canada;North America
Gdynia, Poland;Eastern Europe
All Other Brazil Ports North Of Recife, Brazil;South America
Sidi Kerir, Egypt;Northern Africa
Ras At Tannurah, Saudi Arabia;Western Asia
Fort De France, Martinique;Caribbean
Puerto Bolivar, Colombia;South America
El Ferrol, Spain;Southern Europe
Marseille, France;Western Europe
Ancona, Italy;Southern Europe
Kashima, Japan;Eastern Asia
Cobh, Ireland;Western Europe
Saint Georges, Bermuda;Caribbean
Zhuhai, China;Eastern Asia
All Other Portugal Ports, Portugal;Western Europe
Gamagori, Japan;Eastern Asia
All Other Russia Baltic Region Ports, Russia;Eastern Europe
Hiroshima, Japan;Eastern Asia
Armuelles, Panama;Central America
Tuapse, Russia;Eastern Europe
All Other Malta Ports, Malta;Western Europe
Okrika, Nigeria;Western Africa
Galeota Point, Trinidad and Tobago;Caribbean
All Other Nigeria Ports, Nigeria;Western Africa
All Other India East Coast Ports, India;Southern Asia
Batangas, Philippines;South-Eastern Asia
Karlshamn, Sweden;Northern Europe
Skoldvik, Finland;Northern Europe
Nakhodka, Russia;Eastern Europe
Hiro, Japan;Eastern Asia
Mogpo, South Korea;Eastern Asia
All Other Australia Ports, Australia;Australasia
Samarinda, Indonesia;South-Eastern Asia
Chiba, Japan;Eastern Asia
Tilbury, United Kingdom;Western Europe
Puerto De Morales, Mexico;Central America
Port Louis, Mauritius;Eastern Africa
Sauda, Norway;Northern Europe
Ceara, Brazil;South America
Brake, Germany;Western Europe
Ashdod, Israel;Western Asia
Majorca, Spain;Southern Europe
Pointe A Pierre, Trinidad and Tobago;Caribbean
Norrkoping, Sweden;Northern Europe
All Falkland Islands Ports, Falkland Islands;South America
Barao De Teffe, Brazil;South America
Al Basrah, Iraq;Western Asia
Sept Iles, QUE, Canada;North America
Portland, Australia;Australasia
All Other England South And East Coast Ports, United Kingdom;Northern Europe
Catania, Italy;Southern Europe
Juzhny, Ukraine;Eastern Europe
Port Rhoades, Jamaica;Caribbean
Sorel, Que, Canada;North America
Crofton, Bc, Canada;North America
Tamatave, Madagascar;Eastern Africa
All Other Togo Ports, Togo;Western Africa
Stigsnaes, Denmark;Northern Europe
All Other Spanish Africa N.E.C. Ports, Spain;Southern Europe
Iwakuni, Japan;Eastern Asia
All Other England South And East Coast Ports, United Kingdom;Western Europe
Skikda, Algeria;Northern Africa
Tilbury, United Kingdom;Northern Europe
Tallinn, Estonia;Eastern Europe
Van Anda, Bc, Canada;North America
Maputo, Mozambique;Southern Africa
Dubai, United Arab Emirates;Western Asia
Pulau Bukom, Singapore;South-Eastern Asia
Donges, France;Western Europe
All Other Mozambique Ports, Mozambique;Eastern Africa
Bell Bay, Australia;Australasia
Cobh, Ireland;Northern Europe
Bourgas, Bulgaria;Eastern Europe
Sarnia, Ont, Canada;North America
Andros Island, Bahamas;Caribbean
Pandjang, Indonesia;South-Eastern Asia
Majorca, Spain;Western Europe
Rangoon, Myanmar;South-Eastern Asia
Aviles, Spain;Southern Europe
Luanda, Angola;Middle Africa
Montreal, Que, Canada;North America
Kopar, Slovenia;Southern Europe
Augusta, Italy;Western Europe
Covenas, Colombia;South America
Beale Cove, Bc, Canada;North America
