portOfLading;portOfLadingRegion
All Other Equatorial Guinea Ports, Equatorial Guinea;Middle Africa
La Paz, Mexico;Central America
Uddevalla, Sweden;Northern Europe
Arzew, Algeria;Northern Africa
Brass, Nigeria;Western Africa
San Nicolas Bay, Aruba;Caribbean
All Other Gabon Ports, Gabon;Middle Africa
All Other Angola Ports, Angola;Middle Africa
Kotka, Finland;Northern Europe
Chub Cay, Bahamas;Caribbean
Bayside, Nb, Canada;North America
Mindelo, Cape Verde;Western Africa
All Other Jamaica Ports, Jamaica;Caribbean
Tan Cang, Vietnam;South-Eastern Asia
Vostochnyy, Russia;Eastern Europe
Rostock, Germany;Western Europe
El Tablazo, Venezuela;South America
Funchal, Portugal;Western Europe
All Other Uruguay Ports, Uruguay;South America
Stettin, Poland;Eastern Europe
All Other Poland Ports, Poland;Eastern Europe
Gand, Belgium;Western Europe
Iligan, Philippines;South-Eastern Asia
Sheet Harbour, Ns, Canada;North America
All Other Trinidad Ports, Trinidad and Tobago;Caribbean
Port Alberni, Bc, Canada;North America
All Other Russia Eastern Region Ports, Russia;Eastern Europe
Labadee, Haiti;Caribbean
Bei Hai, China;Eastern Asia
All Other Society Islands Ports, French Polynesia;Polynesia
Ancona, Italy;Western Europe
Piombino, Italy;Southern Europe
Port Hardy, Bc, Canada;North America
Mongstad, Norway;Northern Europe
General San Martin, Peru;South America
Helsingfors, Finland;Northern Europe
All Other Sicily Ports, Italy;Southern Europe
Bluefields, Nicaragua;Central America
Dakar, Senegal;Western Africa
Lome, Togo;Western Africa
Freetown, Sierra Leone;Western Africa
Conakri, Guinea;Western Africa
All Other Germany Baltic Region Ports, Germany;Western Europe
All Other Cape Verde Ports, Cape Verde;Western Africa
Talara, Peru;South America
All Other Finland Ports, Finland;Northern Europe
Monfalcone, Italy;Western Europe
All Other Fiji Islands Ports, Fiji;Melanesia
Takoradi, Ghana;Western Africa
Acapulco, Mexico;Central America
Esquivel, Jamaica;Caribbean
Tanjong Pandan, Indonesia;South-Eastern Asia
Tuxpan, Mexico;North America
Santiago, Chile;South America
All Other Libya Ports, Libya;Northern Africa
Manaus, Brazil;South America
Nador, Morocco;Northern Africa
Pointe Noire, Congo;Middle Africa
All Other Equatorial Guinea Ports, Equatorial Guinea;Western Africa
Sydney, Ns, Canada;North America
All Other Newfoundland Ports, Canada;North America
All Other Caicos Islands, Turks and Caicos Islands;Caribbean
Jervis Inlet, Bc, Canada;North America
Powell River, Bc, Canada;North America
Kribi, Cameroon;Middle Africa
Sundsvall, Sweden;Northern Europe
Las Palmas, Spain;Western Europe
Kingston, Ont, Canada;North America
Saffi, Morocco;Northern Africa
Manchester, United Kingdom;Western Europe
All Other England West Coast Ports, United Kingdom;Northern Europe
Aabenraa, Denmark;Northern Europe
Halden, Norway;Northern Europe
Campana, Argentina;South America
Aalborg, Denmark;Western Europe
Esbjerg, Denmark;Northern Europe
Matarani, Peru;South America
All Other Saudi Arabia Ports, Saudi Arabia;Western Asia
All Marshall Island Ports, Marshall Islands;Micronesia
Chemainus, Bc, Canada;North America
All Other Italy West Coast Ports, Italy;Western Europe
Giresun, Turkey;Western Asia
All Other Java Ports, Indonesia;South-Eastern Asia
Horsens, Denmark;Western Europe
Oslo, Norway;Northern Europe
All Other El Salvador Ports, El Salvador;Central America
Cerros Island, Mexico;Central America
Isla San Andres, Colombia;South America
All Other Ireland Ports, Ireland;Western Europe
All Other Netherlands Ports, Netherlands;Western Europe
Victoria, Pei, Canada;North America
All Other France Atlantic Region Ports, France;Western Europe
Ocean Cay, Bahamas;Caribbean
All Other Estonia Ports, Estonia;Eastern Europe
Aabenraa, Denmark;Western Europe
Port Alice, Bc, Canada;North America
Iquitos, Peru;South America
Mab Ta Pud, Thailand;South-Eastern Asia
Escravos, Nigeria;Western Africa
Wilhelmshaven, Germany;Western Europe
Muuga, Estonia;Eastern Europe
Asnaes, Denmark;Northern Europe
Malabo, Equatorial Guinea;Western Africa
Sakaide, Japan;Eastern Asia
Imbituba, Brazil;South America
Almirante, Panama;Central America
Rada Di Vado, Italy;Southern Europe
Owendo, Gabon;Middle Africa
Pembroke, United Kingdom;Northern Europe
Montrose, United Kingdom;Western Europe
Salten, Norway;Northern Europe
Muara Port, Brunei Darussalam;South-Eastern Asia
Angra Dos Reis, Brazil;South America
Mamonal, Colombia;South America
Hound Point, United Kingdom;Northern Europe
Alexandretta, Turkey;Western Asia
All Other Ivory Coast Ports, Cote d'Ivoire;Western Africa
Whiffen Head, Nfld, Canada;North America
All Other Colombia West Coast Region Ports, Colombia;South America
Sullom Voe, United Kingdom;Northern Europe
Ras Gharib, Egypt;Northern Africa
Dhuba, Saudi Arabia;Western Asia
All Other Wales Ports, United Kingdom;Northern Europe
All Other Russia Siberia Region Ports, Russia;Eastern Europe
Ventspils, Latvia;Northern Europe
Gela, Italy;Southern Europe
Corunna, Spain;Southern Europe
La Pampilla, Peru;South America
Mina Abd Fahl, Oman;Western Asia
Djeno Terminal, Congo;Middle Africa
Al Mukalla, Yemen;Western Asia
Tumaco, Colombia;South America
Hakodate, Japan;Eastern Asia
Sechelt, Bc, Canada;North America
Yokosuka, Japan;Eastern Asia
Bogen, Norway;Northern Europe
All Other Indonesia Ports, Indonesia;South-Eastern Asia
Salina Cruz, Mexico;Central America
Bontang, Indonesia;South-Eastern Asia
Carmen, Mexico;Central America
Bari, Italy;Western Europe
Richmond, Bc, Canada;North America
Pola, Croatia;Southern Europe
Pulau Sambu, Indonesia;South-Eastern Asia
Windsor, Ont, Canada;North America
Olongapo, Philippines;South-Eastern Asia
Howie Sound, Bc, Canada;North America
Hon Gai, Vietnam;South-Eastern Asia
Matrah, Oman;Western Asia
Gustavia, Guadeloupe;Caribbean
Cayuga, Ont, Canada;North America
Fredericia, Denmark;Northern Europe
Puerto Vallarta, Mexico;Central America
Puerto Vallarta, Mexico;North America
All Other Mexico West Coast Region Ports, Mexico;North America
All Other Haiti Ports, Haiti;Caribbean
Guayacan, Chile;South America
Port Moresby, Papua New Guinea;Melanesia
Campeche, Mexico;Central America
Victoria Harbor, Ont, Canada;North America
Santa Cruz De Tenerife, Spain;Southern Europe
Charlottetown, Pei, Canada;North America
Virgin  Gorda, Virgin Islands (British);Caribbean
Brindisi, Italy;Southern Europe
Fukuyama, Japan;Eastern Asia
Santa Rosalia, Mexico;Central America
Maceio, Brazil;South America
Diego Garcia, British Indian Ocean Territory;Eastern Africa
Huelva, Spain;Western Europe
Halmstad, Sweden;Northern Europe
Port Gentil, Gabon;Middle Africa
Kudamatsu, Japan;Eastern Asia
Port Moody, Bc, Canada;North America
Malongo Oil Terminal, Angola;Middle Africa
Balao, Ecuador;South America
Dos Bocas, Mexico;Central America
Eregli, Turkey;Western Asia
All Other Scotland West Coast Ports, United Kingdom;Northern Europe
All Other Scotland East Coast Ports, United Kingdom;Northern Europe
Musayid, Qatar;Western Asia
Ras Laffan, Qatar;Western Asia
Cap  Limboh, Cameroon;Middle Africa
Moanda Terminal, Congo;Middle Africa
Cinta Terminal, Indonesia;South-Eastern Asia
Burnaby, Bc, Canada;North America
All Other Iraq Ports, Iraq;Western Asia
Haldia, India;Southern Asia
All Other Jordan Ports, Jordan;Western Asia
Aomori, Japan;Eastern Asia
All Other Israel Mediterranean Area Ports, Israel;Western Asia
Mackay, Australia;Australasia
Bundaberg, Australia;Australasia
Al Fuhayhil, Kuwait;Western Asia
Frederiksted, St. Croix, Virgin Islands (U.S.);Caribbean
Frederikshavn, Denmark;Northern Europe
Manchester, United Kingdom;Northern Europe
El Guamache, Venezuela;South America
All Other North Korea Ports, North Korea;Eastern Asia
Avonmouth, United Kingdom;Northern Europe
Tel Aviv Yafo, Israel;Western Asia
St. Pierre, St. Pierre and Miquelon;North America
La Libertad, Ecuador;South America
Port Sudan, Sudan;Northern Africa
Dartmouth, Ns, Canada;North America
Mulgrave, Ns, Canada;North America
Saint John's, Nfld, Canada;North America
All Other Paraguay Ports, Paraguay;South America
Taranto, Italy;Southern Europe
Wakamatsu, Japan;Eastern Asia
Port Talbot, United Kingdom;Western Europe
Elefsis, Greece;Southern Europe
Puerto Colombia, Colombia;South America
All Other Honduras Caribbean Region Ports, Honduras;Central America
Havana, Cuba;Caribbean
Pulupandan, Philippines;South-Eastern Asia
Fredericia, Denmark;Western Europe
All Caroline Islands Ports, Kiribati;Micronesia
All Gilbert Islands Ports, Kiribati;Micronesia
Christmas Island, Kiribati;Micronesia
Toulon, France;Western Europe
All Other Germany Atlantic Region Ports, Germany;Western Europe
Salaverry, Peru;South America
Nagasaki, Japan;Eastern Asia
Fujairah, United Arab Emirates;Western Asia
Hoganas, Sweden;Northern Europe
Manta, Ecuador;South America
Monrovia, Liberia;Western Africa
Saint Marc, Haiti;Caribbean
Bukpyung, South Korea;Eastern Asia
Argentia, Nfld, Canada;North America
Rarotonga Island, New Zealand;Australasia
Al Kuwayt, Kuwait;Western Asia
All Other Egypt Red Sea Region Ports, Egypt;Northern Africa
Campbell River, Bc, Canada;North America
Butzfleth, Germany;Western Europe
Bahia Blanca, Argentina;South America
Mexico, Mexico;Central America
Macao, Macau;Eastern Asia
Holmsund, Sweden;Northern Europe
All Other Italy East Coast Ports, Italy;Western Europe
Aalesund, Norway;Northern Europe
Puerto Ordaz, Venezuela;South America
Barcadera, Aruba;Caribbean
Huizhou, China;Eastern Asia
Cerros Island, Mexico;North America
Calais, France;Western Europe
Kita Kyushu, Japan;Eastern Asia
Senipah Terminal, Indonesia;South-Eastern Asia
Puerto Henecan, Honduras;Central America
Recife, Brazil;South America
Punta Morales, Costa Rica;Central America
San Marcos Island, Mexico;Central America
Botany Bay, Australia;Australasia
Milazzo, Italy;Southern Europe
Mohammedia, Morocco;Northern Africa
Bejaia, Algeria;Northern Africa
Nigg Bay, United Kingdom;Northern Europe
Dundee, United Kingdom;Northern Europe
Elefsis, Greece;Western Europe
Port Jerome, France;Western Europe
All Other Lithuania Ports, Lithuania;Eastern Europe
Kagoshima, Japan;Eastern Asia
Derince, Turkey;Western Asia
Marsaxlokk, Malta;Western Europe
La Palma, Panama;Central America
Kwa Ibo Terminal, Nigeria;Western Africa
Nanticoke, ONT, Canada;North America
All Other Syria Ports, Syria;Western Asia
All Other Papua New Guinea Ports, Papua New Guinea;Melanesia
Al Juaymah, Saudi Arabia;Western Asia
Gamba, Gabon;Middle Africa
Heraklion, Greece;Southern Europe
Matadi, Congo;Middle Africa
All Other Romania Ports, Romania;Eastern Europe
Terceira Island, Portugal;Western Europe
Lulea, Sweden;Northern Europe
Degrad Des Cannes, French Guiana;South America
Auld's Cove, Ns, Canada;North America
Tanjiajing, China;Eastern Asia
Christchurch, New Zealand;Australasia
Seibu, Japan;Eastern Asia
Hirohata, Japan;Eastern Asia
Montoir, France;Western Europe
Kristiansand S, Norway;Northern Europe
Basse Terre, Guadeloupe;Caribbean
Caleta Cordova, Argentina;South America
Pto. General San Martin, Argentina;South America
Kings North, United Kingdom;Northern Europe
Shiogama, Japan;Eastern Asia
Barahona, Dominican Republic;Caribbean
Maputo, Mozambique;Eastern Africa
All Other Spain Atlantic Region Ports North Of Por, Spain;Southern Europe
Mina Sulman, Bahrain;Western Asia
Topolobampo, Mexico;North America
Terceira Island, Portugal;Southern Europe
All Other Greenland, Greenland;North America
New Amsterdam, Guyana;South America
Braefoot Bay, United Kingdom;Northern Europe
Almeria, Spain;Southern Europe
Vasteras, Sweden;Northern Europe
Dongguan, China;Eastern Asia
All Other Spain Atlantic Region Ports Southeast Of, Spain;Western Europe
Bebington, United Kingdom;Northern Europe
Rocky Point, Jamaica;Caribbean
All Other Angola Ports, Angola;Southern Africa
Goto Oil Terminal, Netherlands Antilles;Caribbean
Motril, Spain;Southern Europe
All Other Spanish Africa N.E.C. Ports, Spain;Western Europe
Miragoane, Haiti;Caribbean
San Pedro, Argentina;South America
Bonaberi, Cameroon;Western Africa
All Other Algeria Ports, Algeria;Northern Africa
Lobito, Angola;Middle Africa
Kopar, Slovenia;Eastern Europe
Ouleborg, Finland;Northern Europe
Vaasa, Finland;Northern Europe
Three Rivers, Que, Canada;North America
El Jorf Lasfar, Morocco;Northern Africa
All Other Croatia Ports, Croatia;Southern Europe
La Salina, Venezuela;South America
All Other Kenya Ports, Kenya;Eastern Africa
Clarkson, Ont, Canada;North America
La Plata, Argentina;South America
Gijon, Spain;Western Europe
Gibraltar, Gibraltar;Western Europe
Puerto Miranda, Venezuela;South America
Klaipeda, Lithuania;Eastern Europe
Other Belize Ports, Belize;Central America
Kuala Selangor, Malaysia;South-Eastern Asia
Borg Hbr., Norway;Northern Europe
Bassens, France;Western Europe
Stephenville, Nl, Canada;North America
Birkenhead, United Kingdom;Western Europe
Saint Jean, Que, Canada;North America
Oguendjo Terminal, Gabon;Middle Africa
Aden, Yemen;Western Asia
Birkenhead, United Kingdom;Northern Europe
Santa Panagia, Italy;Southern Europe
Hartlepool, United Kingdom;Northern Europe
Necochea, Argentina;South America
Lakeview, Ont, Canada;North America
All Other Spain Atlantic Region Ports Southeast Of, Spain;Southern Europe
Rosarito, Mexico;Central America
All Other Morocco Mediterranean Ports, Morocco;Northern Africa
Lu Shun, China;Eastern Asia
Cam Rahn Bay, Vietnam;South-Eastern Asia
Weipa, Australia;Australasia
Moerdjik, Netherlands;Western Europe
Belledune, Nb, Canada;North America
Pictou, Ns, Canada;North America
Vladivostok, Russia;Eastern Europe
Imari, Japan;Eastern Asia
Falmouth, United Kingdom;Northern Europe
Oshawa, Ont, Canada;North America
Port Gentil, Gabon;Western Africa
Copenhagen, Denmark;Western Europe
Brunsbuttel, Germany;Western Europe
Doha, Qatar;Western Asia
Abu Zabi, United Arab Emirates;Western Asia
Al Ladhiqiyah, Syria;Western Asia
Caronte, France;Western Europe
Thames Haven, United Kingdom;Northern Europe
All Other Honduras West Coast Region Ports, Honduras;Central America
Alert Bay, Bc, Canada;North America
Salonika, Greece;Western Europe
Cherbourg, France;Western Europe
Tobata, Japan;Eastern Asia
Brussels, Belgium;Western Europe
Hull, United Kingdom;Western Europe
Fredrikshamn, Finland;Northern Europe
Tunis, Tunisia;Northern Africa
Aughinish, Ireland;Western Europe
Quintero, Chile;South America
Ponta Delgada, Portugal;Western Europe
Jose Panganiban, Philippines;South-Eastern Asia
Swinemunde, Poland;Eastern Europe
Nova Scotia, Canada;North America
Dos Bocas, Mexico;North America
Thames Haven, United Kingdom;Western Europe
Praia, Portugal;Southern Europe
Bahia De Las Minas, Panama;Central America
Las Palmas, Spain;Southern Europe
Madre De Deus, Brazil;South America
Aagotnes, Norway;Northern Europe
East London, South Africa;Southern Africa
Gonaives, Haiti;Caribbean
Volos, Greece;Southern Europe
Tocopilla, Chile;South America
Mariupol, Ukraine;Eastern Europe
Berdyansk, Ukraine;Eastern Europe
Alicante, Spain;Southern Europe
All Other Brunei Ports, Brunei Darussalam;South-Eastern Asia
All Other Tunisia Ports, Tunisia;Northern Africa
Stewart, Bc, Canada;North America
All Other Kalimantan Ports, Indonesia;South-Eastern Asia
Dar Es Salaam, Tanzania;Eastern Africa
Santa Rosalia, Mexico;North America
San Marcos Island, Mexico;North America
Redcar, United Kingdom;Northern Europe
All Other Denmark Ports, Denmark;Northern Europe
Ofunato, Japan;Eastern Asia
All Other Ecuador Ports, Ecuador;South America
Anguilla, Anguilla;Caribbean
Guaymas, Mexico;Central America
New Plymouth, New Zealand;Australasia
Cardiff, United Kingdom;Northern Europe
Cumana, Venezuela;South America
Eilat, Israel;Western Asia
Sooke, Bc, Canada;North America
Ras Lanuf, Libya;Northern Africa
All Other Namibia Ports, Namibia;Southern Africa
Sfax, Tunisia;Northern Africa
Blacks Harbor, Nb, Canada;North America
Dordrecht, Netherlands;Western Europe
Robert's Bank, Bc, Canada;North America
Buayan, Philippines;South-Eastern Asia
Chen Hai, South Korea;Eastern Asia
Hobart, Australia;Australasia
All Other Denmark Ports, Denmark;Western Europe
Wallhamn, Sweden;Northern Europe
All Other Nicaragua West Coast Region Ports, Nicaragua;Central America
Ain Sukhna, Egypt;Northern Africa
Cabinda, Angola;Middle Africa
Pointe Des Galets, Reunion;Eastern Africa
Djibouti, Djibouti;Eastern Africa
Bull Arm, Nfld, Canada;North America
Berbera, Somalia;Eastern Africa
Greenock, United Kingdom;Western Europe
Bjorneborg, Finland;Northern Europe
Kardeljevo, Croatia;Eastern Europe
Topolobampo, Mexico;Central America
Vallvik, Sweden;Northern Europe
Santa Cruz De La Palma, Spain;Southern Europe
All Other British Indian Ocean Territory, British Indian Ocean Territory;Eastern Africa
Newcastle On Tyne, United Kingdom;Northern Europe
Milos Island, Greece;Western Europe
Onahama, Japan;Eastern Asia
Niihama, Japan;Eastern Asia
Boca Chica, Dominican Republic;Caribbean
Sapele, Nigeria;Western Africa
Mombasa, Kenya;Eastern Africa
Kokura, Japan;Eastern Asia
Tramandai, Brazil;South America
Tagonoura, Japan;Eastern Asia
Saint Nazaire, France;Western Europe
All Other New Caledonia Ports, New Caledonia;Melanesia
Hammerfest, Norway;Northern Europe
Korsakov, Russia;Eastern Europe
Little Narrows, Cbi, Canada;North America
All Other Canada Great Lakes Region Ports, Canada;North America
Gravenhage, Netherlands;Western Europe
Leamington, Ont, Canada;North America
Bei Jao, China;Eastern Asia
All Other England West Coast Ports, United Kingdom;Western Europe
Immingham, United Kingdom;Western Europe
Limassol, Cyprus;Western Asia
Swansea, United Kingdom;Northern Europe
Shimonoseki, Japan;Eastern Asia
Porto Vesme, Italy;Southern Europe
Tanga, Tanzania;Eastern Africa
Lyttelton, New Zealand;Australasia
Limon, Honduras;Central America
All Other Sulawesi Ports, Indonesia;South-Eastern Asia
Lalang Terminal, Indonesia;South-Eastern Asia
Port Hedland, Australia;Australasia
Guaymas, Mexico;North America
Lumut, Malaysia;South-Eastern Asia
Rada Di Vado, Italy;Western Europe
All Other Latvia Ports, Latvia;Northern Europe
Setubal, Portugal;Southern Europe
Annaba, Algeria;Northern Africa
All Other Mozambique Ports, Mozambique;Southern Africa
Soyo Oil Terminal, Angola;Southern Africa
San Nicolas, Peru;South America
Mo I Rana, Norway;Northern Europe
Pembroke, United Kingdom;Western Europe
Levis, Que, Canada;North America
All Other Cyprus Ports, Cyprus;Western Asia
Alvaro Obregon, Mexico;Central America
La Fitteau, Haiti;Caribbean
All Other Guyana Ports, Guyana;South America
Marsa Al Hariga, Libya;Northern Africa
Zavia, Libya;Northern Africa
Europoort, Netherlands;Western Europe
Ukpokiti, Nigeria;Western Africa
Banzart, Tunisia;Northern Africa
All Other Ghana Ports, Ghana;Western Africa
Harbour Grace, Nfld, Canada;North America
Nacala, Mozambique;Eastern Africa
Nacala, Mozambique;Southern Africa
Larvik, Norway;Northern Europe
Portbury, United Kingdom;Northern Europe
Calabar, Nigeria;Western Africa
Ube, Japan;Eastern Asia
Talcahuano, Chile;South America
Nystad, Finland;Northern Europe
Ko Sichang, Thailand;South-Eastern Asia
All Other Sierra Leone Ports, Sierra Leone;Western Africa
Beira, Mozambique;Southern Africa
As Sidr, Libya;Northern Africa
Kuching, Malaysia;South-Eastern Asia
Sakai, Japan;Eastern Asia
Luanda, Angola;Southern Africa
Ceuta, Spain;Southern Europe
La Paz, Mexico;North America
All Other Croatia Ports, Croatia;Eastern Europe
Rabaul, Papua New Guinea;Melanesia
Dampier, Australia;Australasia
Falkenberg, Sweden;Northern Europe
Lobito, Angola;Southern Africa
Delta Bc, Canada;North America
Port Johnstown, Ont, Canada;North America
Libreville, Gabon;Middle Africa
Geelong, Australia;Australasia
Sevilla, Spain;Western Europe
Golfo De Palmas, Italy;Western Europe
North Tees, United Kingdom;Western Europe
Mitilini, Greece;Southern Europe
Rupert Inlet, Que, Canada;North America
Comodoro Rivadavia, Argentina;South America
Pasages, Spain;Western Europe
Kings North, United Kingdom;Western Europe
Matsunaga, Japan;Eastern Asia
All Other British Indian Ocean Territory, British Indian Ocean Territory;Southern Asia
Pajaritos, Mexico;North America
Salina Cruz, Mexico;North America
Miri, Malaysia;South-Eastern Asia
Hachinohe, Japan;Eastern Asia
Fiume, Croatia;Eastern Europe
Belfast, United Kingdom;Western Europe
Puerto Cabezas, Nicaragua;Central America
All Other Northern Ireland Ports, United Kingdom;Northern Europe
Legaspi, Philippines;South-Eastern Asia
Caleta Barquito, Chile;South America
Brest, France;Western Europe
Himezi, Japan;Eastern Asia
Zafira, Equatorial Guinea;Middle Africa
Matsushima, Japan;Eastern Asia
Sri Racha, Thailand;South-Eastern Asia
Drammen, Norway;Northern Europe
Ciudad Bolivar, Venezuela;South America
Sao Sebastio, Brazil;South America
Walker Cay, Bahamas;Caribbean
Milazzo, Italy;Western Europe
Port Hawkesbury, Ns, Canada;North America
British Columbia, Canada;North America
Setubal, Portugal;Western Europe
Jacmel, Haiti;Caribbean
As Sukhayrah, Tunisia;Northern Africa
Gold River, Bc, Canada;North America
Palanca Terminal, Angola;Middle Africa
Bauan, Philippines;South-Eastern Asia
Valleyfield, Que, Canada;North America
Libreville, Gabon;Western Africa
Arlen Siu, Nicaragua;Central America
Eastham, United Kingdom;Northern Europe
Kitimat, Bc, Canada;North America
Isdemir, Turkey;Western Asia
Arjuna Terminal, Indonesia;South-Eastern Asia
Golfo De Palmas, Italy;Southern Europe
Warri, Nigeria;Western Africa
Puntarenas, Costa Rica;Central America
Washington Island, Kiribati;Micronesia
Aberdeen, United Kingdom;Western Europe
Nordenham, Germany;Western Europe
Joao Pessoa, Brazil;South America
Macassar, Indonesia;South-Eastern Asia
Palu, Indonesia;South-Eastern Asia
Mazatlan, Mexico;Central America
Samana, Dominican Republic;Caribbean
All Other Iran Ports, Iran;Southern Asia
Moss, Norway;Northern Europe
Middlesbrough, United Kingdom;Northern Europe
Sodegaura, Japan;Eastern Asia
All Other West New Guinea Ports, Indonesia;South-Eastern Asia
Marigot, St. Martin, Guadeloupe;Caribbean
All Other Liberia Ports, Liberia;Western Africa
Taicang, China;Eastern Asia
Gabes, Tunisia;Northern Africa
Cabo Rojo, Dominican Republic;Caribbean
Aughinish, Ireland;Northern Europe
Bebington, United Kingdom;Western Europe
Cowichan Bay, Bc, Canada;North America
Blubber Bay, Bc, Canada;North America
Tela, Honduras;Central America
Takula, Angola;Middle Africa
Isla Mujeres, Mexico;Central America
All Other Spain Atlantic Region Ports North Of Por, Spain;Western Europe
Ahus, Sweden;Northern Europe
Carmen, Mexico;North America
All Other Lithuania Ports, Lithuania;Northern Europe
Marsa Al Brega, Libya;Northern Africa
Antan Terminal, Nigeria;Western Africa
Ventspils, Latvia;Eastern Europe
Santan Terminal, Indonesia;South-Eastern Asia
Point Ubu, Brazil;South America
Newcastle, Australia;Australasia
Perth, Australia;Australasia
Savona, Italy;Southern Europe
Yalova, Turkey;Western Asia
Kastel Sucurac, Croatia;Southern Europe
Tacloban, Philippines;South-Eastern Asia
Chetumal, Mexico;Central America
Yombo, Congo;Middle Africa
Mazatlan, Mexico;North America
Tinian, Northern Mariana Islands;Micronesia
Benghazi, Libya;Northern Africa
Pennington, Nigeria;Western Africa
Porto Torres, Italy;Southern Europe
Mourilyan Harbour, Australia;Australasia
Savanna La Mar, Jamaica;Caribbean
Port Alfred, Que, Canada;North America
Raahe, Finland;Northern Europe
Timor, Indonesia;South-Eastern Asia
Acapulco, Mexico;North America
All Other Cameroon Ports, Cameroon;Western Africa
Sarroch Oil Terminal, Italy;Western Europe
Holtenau, Germany;Western Europe
Edinburgh, United Kingdom;Northern Europe
Military Port Kelang, Malaysia;South-Eastern Asia
Cuxhaven, Germany;Western Europe
All Other Mauritania Ports, Mauritania;Western Africa
Stenungsund, Sweden;Northern Europe
Owendo, Gabon;Western Africa
Fawley, United Kingdom;Western Europe
Kastel Sucurac, Croatia;Eastern Europe
Maaloy, Norway;Northern Europe
Dalhousie, Nb, Canada;North America
All Other Lebanon Ports, Lebanon;Western Asia
Hound Point, United Kingdom;Western Europe
Lengua De Pajaro, Cuba;Caribbean
West End, Bahamas;Caribbean
Duncan Town, Bahamas;Caribbean
Bandar Abbas, Iran;Southern Asia
Jebel Dhanna, United Arab Emirates;Western Asia
Vassiliko, Cyprus;Western Asia
Military Naha, Japan;Eastern Asia
Gaspe, Que, Canada;North America
Dunedin, New Zealand;Australasia
Abo, Finland;Northern Europe
Barama, Guyana;South America
Priolo, Italy;Southern Europe
Boca Sec, Nb, Canada;North America
Buchanan, Liberia;Western Africa
Magadan, Russia;Eastern Europe
Alicante, Spain;Western Europe
Al Hudayah, Yemen;Western Asia
Balikpapan, Indonesia;South-Eastern Asia
Alofi, Niue;Polynesia
Zhenjiang, China;Eastern Asia
Owen Sound, Ont, Canada;North America
Moudi Terminal, Cameroon;Middle Africa
Newport, United Kingdom;Northern Europe
Bengkulu, Indonesia;South-Eastern Asia
Piombino, Italy;Western Europe
Veile, Denmark;Northern Europe
All Other Canary Islands Ports, Spain;Southern Europe
Kwinana, Australia;Australasia
All Other Martinique Ports, Martinique;Caribbean
Mitilini, Greece;Western Europe
All Other Bangladesh Ports, Bangladesh;Southern Asia
Berre, France;Western Europe
Natal, Brazil;South America
San Felix, Venezuela;South America
All Other Iran Ports, Iran;Western Asia
El Sauzal, Mexico;Central America
Bandar Abbas, Iran;Western Asia
Sidney, Bc, Canada;North America
La Pallice, France;Western Europe
Contrecoeur, Que, Canada;North America
Zuetina, Libya;Northern Africa
All Other Scotland East Coast Ports, United Kingdom;Western Europe
Su Ao, Taiwan;Eastern Asia
Sete, France;Western Europe
Gandia, Spain;Southern Europe
Banjarmasin, Indonesia;South-Eastern Asia
Baj Baj, India;Southern Asia
Male, Male Island, Maldives;Southern Asia
Apapa, Nigeria;Western Africa
Uno, Japan;Eastern Asia
Scarborough, Trinidad and Tobago;Caribbean
Porto Praia, Cape Verde;Western Africa
Kanado, Japan;Eastern Asia
Flotta, United Kingdom;Northern Europe
Tuktoyaktuk, Nwt, Canada;North America
Aguadulce, Costa Rica;Central America
Bordeaux, France;Western Europe
Huasco, Chile;South America
Baghdad, Iraq;Western Asia
Marina Di Carrara, Italy;Western Europe
Macapa, Brazil;South America
Inverness, United Kingdom;Northern Europe
Rizhao, China;Eastern Asia
Matane, Que, Canada;North America
Porto Empedocle, Italy;Southern Europe
Sur, Oman;Western Asia
Butuan, Philippines;South-Eastern Asia
Porto Empedocle, Italy;Western Europe
Santa Panagia, Italy;Western Europe
Tartous, Syria;Western Asia
Ensteadvaerket, Denmark;Northern Europe
All Other Georgia Ports, Georgia;Eastern Europe
Mollendo, Peru;South America
Akureyri, Iceland;Northern Europe
Pulau Sebarok, Singapore;South-Eastern Asia
Toyama, Japan;Eastern Asia
Chetumal, Mexico;North America
All Other Tanzania Ports, Tanzania;Eastern Africa
Larnaca, Cyprus;Western Asia
Hunterston, United Kingdom;Northern Europe
Money Point, Ireland;Northern Europe
Pilos, Greece;Southern Europe
Esbjerg, Denmark;Western Europe
Asnaes, Denmark;Western Europe
Almeria, Spain;Western Europe
Dumaguete, Philippines;South-Eastern Asia
Lae, Papua New Guinea;Melanesia
All Other Azores Ports, Portugal;Southern Europe
Hantsport, Ns, Canada;North America
Colorado Bar, Costa Rica;Central America
All Other Albania Ports, Albania;Southern Europe
Okpo, South Korea;Eastern Asia
Itacoatiara, Brazil;South America
Tsukumi, Japan;Eastern Asia
Volos, Greece;Western Europe
St. Louis Du Rhon, France;Western Europe
Churchill, Man, Canada;North America
Erith, United Kingdom;Northern Europe
Porto Torres, Italy;Western Europe
Svelgen, Norway;Northern Europe
Puerto Bello, Panama;Central America
Carbonear, Nfld, Canada;North America
Savona, Italy;Western Europe
All Tonga Islands Ports, Tonga;Polynesia
Durazzo, Albania;Southern Europe
Port Alma, Australia;Australasia
Cap Lopez, Gabon;Western Africa
Merak, Indonesia;South-Eastern Asia
Accra, Ghana;Western Africa
